iter	RMSE
0	14.11296576
1	13.2502306
2	12.38003386
3	11.6314066
4	10.97424727
5	10.45452385
6	9.95248499
7	9.502560823
8	9.062495913
9	8.647755181
10	8.286205778
11	7.975300366
12	7.710216206
13	7.47539339
14	7.246394924
15	7.029814474
16	6.851835931
17	6.697590965
18	6.549306577
19	6.429246627
20	6.31695267
21	6.221660409
22	6.12584858
23	6.037348671
24	5.964323328
25	5.904492663
26	5.842396515
27	5.785661656
28	5.736116078
29	5.681211214
30	5.632566365
31	5.596255867
32	5.547904677
33	5.510007895
34	5.478794802
35	5.446975309
36	5.412516516
37	5.397313573
38	5.374248652
39	5.346354883
40	5.323282587
41	5.308495476
42	5.289497237
43	5.278069679
44	5.248296227
45	5.230154104
46	5.219642214
47	5.206372632
48	5.193369952
49	5.183991787
50	5.168719451
51	5.156548954
52	5.142177281
53	5.130159837
54	5.115456157
55	5.104705398
56	5.091623831
57	5.071105466
58	5.055452939
59	5.054392608
60	5.047237108
61	5.038429689
62	5.027726528
63	5.012453412
64	5.000195597
65	4.988766689
66	4.969284695
67	4.962701242
68	4.956827023
69	4.950414804
70	4.938152941
71	4.927547417
72	4.92014989
73	4.907843381
74	4.894901847
75	4.882022092
76	4.87013877
77	4.864045932
78	4.858623095
79	4.854746341
80	4.847882716
81	4.836999326
82	4.826824319
83	4.820768415
84	4.807857332
85	4.80533829
86	4.794011568
87	4.781439618
88	4.774003249
89	4.761112702
90	4.750656168
91	4.745019017
92	4.740315103
93	4.740039294
94	4.727069305
95	4.721667415
96	4.711732839
97	4.705466133
98	4.69756354
99	4.690754037
