iter	Passed	Remaining
0	4	494
1	8	425
2	12	405
3	16	398
4	20	389
5	24	381
6	27	370
7	31	359
8	34	351
9	38	343
10	41	336
11	45	334
12	49	333
13	54	336
14	58	330
15	62	326
16	65	320
17	68	313
18	72	307
19	75	301
20	79	297
21	82	292
22	86	288
23	89	283
24	93	279
25	96	275
26	100	271
27	103	266
28	107	262
29	111	259
30	114	255
31	118	250
32	121	246
33	124	242
34	128	239
35	132	236
36	137	234
37	141	230
38	144	225
39	147	220
40	149	215
41	152	211
42	155	206
43	157	199
44	159	195
45	162	190
46	164	185
47	166	180
48	168	175
49	171	171
50	173	166
51	176	162
52	178	158
53	181	154
54	183	149
55	185	146
56	188	142
57	190	138
58	192	134
59	194	129
60	196	125
61	198	121
62	201	118
63	204	114
64	206	111
65	209	107
66	211	104
67	214	100
68	216	97
69	219	93
70	221	90
71	223	86
72	225	83
73	227	80
74	230	76
75	232	73
76	234	70
77	237	66
78	239	63
79	241	60
80	243	57
81	245	53
82	247	50
83	250	47
84	252	44
85	254	41
86	256	38
87	258	35
88	260	32
89	263	29
90	265	26
91	267	23
92	269	20
93	270	17
94	272	14
95	275	11
96	277	8
97	279	5
98	281	2
99	283	0
